country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot_cases,deaths,total_tests,tests,cases_per_test,death_in_closed_cases,rank_by_testing_rate,rank_by_death_rate,rank_by_cases_rate,rank_by_death_of_closed_cases,top_death,top_test,country_name
Australia,24236.0,243.0,463.0,13.0,17854.0,5919.0,51.0,949.0,18.0,5507605.0,215645.0,25540177.0,2.53%,22.0,114.0,123.0,117.0,77,53,Australia
Austria,24431.0,347.0,729.0,,21093.0,2609.0,21.0,2710.0,81.0,1061437.0,117760.0,9013539.0,3.34%,44.0,59.0,84.0,92.0,26,185,Austria
Azerbaijan,34759.0,139.0,510.0,,32511.0,1738.0,,3424.0,50.0,855802.0,84301.0,10151735.0,1.54%,59.0,80.0,74.0,154.0,69,10,Azerbaijan
Bahamas,1610.0,79.0,23.0,1.0,211.0,1376.0,61.0,4089.0,58.0,8449.0,21457.0,393759.0,9.83%,128.0,75.0,58.0,24.0,125,12,Bahamas
Bahrain,48303.0,353.0,179.0,1.0,44628.0,3496.0,37.0,28265.0,105.0,1011805.0,592064.0,1708944.0,0.40%,8.0,51.0,3.0,188.0,140,190,Bahrain
Bangladesh,287959.0,2868.0,3822.0,41.0,168991.0,115146.0,,1746.0,23.0,1407556.0,8535.0,164914115.0,2.21%,156.0,107.0,95.0,135.0,89,158,Bangladesh
Barbados,156.0,1.0,7.0,,123.0,26.0,,543.0,24.0,15028.0,52285.0,287425.0,5.38%,85.0,104.0,146.0,55.0,27,149,Barbados
Belarus,69950.0,149.0,627.0,5.0,67929.0,1394.0,,7403.0,66.0,1437110.0,152093.0,9448882.0,0.91%,33.0,67.0,32.0,171.0,39,156,Belarus
Belgium,79479.0,582.0,9969.0,10.0,18078.0,51432.0,83.0,6854.0,860.0,2049976.0,176773.0,11596664.0,35.54%,27.0,2.0,34.0,6.0,1,123,Belgium
Belize,605.0,52.0,5.0,1.0,38.0,562.0,3.0,1518.0,13.0,5592.0,14030.0,398588.0,11.63%,140.0,130.0,102.0,17.0,71,51,Belize
Benin,2095.0,,39.0,,1705.0,351.0,,172.0,3.0,107057.0,8801.0,12164164.0,2.24%,155.0,169.0,183.0,132.0,87,184,Benin
Bermuda,166.0,,9.0,,147.0,10.0,,2667.0,145.0,36203.0,581621.0,62245.0,5.77%,9.0,39.0,85.0,48.0,8,77,Bermuda
Bhutan,150.0,3.0,,,105.0,45.0,,194.0,,66835.0,86488.0,772767.0,,57.0,,182.0,,193,33,Bhutan
Bolivia,105050.0,2031.0,4233.0,61.0,39965.0,60852.0,71.0,8983.0,362.0,222251.0,19005.0,11694550.0,9.58%,130.0,16.0,23.0,25.0,78,114,Bolivia
Bosnia and Herzegovina,17029.0,338.0,515.0,8.0,10881.0,5633.0,,5195.0,157.0,168861.0,51515.0,3277873.0,4.52%,87.0,37.0,51.0,68.0,68,141,Bosnia and Herzegovina
Botswana,1308.0,,3.0,,136.0,1169.0,1.0,555.0,1.0,93420.0,39620.0,2357895.0,2.16%,103.0,177.0,144.0,136.0,104,3,Botswana
Brazil,3505097.0,44684.0,112423.0,1234.0,2653407.0,739267.0,8318.0,16474.0,528.0,13748152.0,64616.0,212768400.0,4.06%,71.0,11.0,10.0,82.0,177,194,Brazil
British Virgin Islands,11.0,,1.0,,8.0,2.0,,364.0,33.0,1890.0,62461.0,30259.0,11.11%,78.0,94.0,158.0,21.0,185,131,British Virgin Islands
Brunei,143.0,,3.0,,139.0,1.0,,326.0,7.0,49399.0,112769.0,438054.0,2.11%,46.0,146.0,161.0,139.0,104,59,Brunei
Bulgaria,14962.0,142.0,532.0,5.0,10087.0,4343.0,63.0,2156.0,77.0,358723.0,51683.0,6940865.0,5.01%,86.0,61.0,89.0,59.0,62,78,Bulgaria
Burkina Faso,1297.0,12.0,55.0,,1034.0,208.0,,62.0,3.0,,,20976858.0,5.05%,,169.0,197.0,58.0,57,196,Burkina Faso
Burundi,422.0,,1.0,,336.0,85.0,,35.0,0.08,19993.0,1675.0,11935821.0,0.30%,186.0,190.0,205.0,190.0,185,124,Burundi
CAR,4679.0,,61.0,,1755.0,2863.0,2.0,967.0,13.0,30775.0,6357.0,4840968.0,3.36%,166.0,130.0,121.0,91.0,46,92,CAR
Cabo Verde,3368.0,47.0,37.0,1.0,2462.0,869.0,,6049.0,66.0,73900.0,132720.0,556812.0,1.48%,36.0,67.0,42.0,157.0,90,24,Cabo Verde
Cambodia,273.0,,,,253.0,20.0,1.0,16.0,,83626.0,4993.0,16750228.0,,172.0,,210.0,,193,14,Cambodia
Cameroon,18762.0,138.0,408.0,2.0,16540.0,1814.0,30.0,705.0,15.0,149000.0,5595.0,26631541.0,2.41%,170.0,125.0,133.0,128.0,83,152,Cameroon
Canada,123873.0,383.0,9054.0,5.0,110288.0,4531.0,61.0,3278.0,240.0,4974215.0,131636.0,37787666.0,7.59%,37.0,26.0,76.0,34.0,7,57,Canada
Caribbean Netherlands,13.0,,,,7.0,6.0,,495.0,,424.0,16149.0,26256.0,,136.0,,151.0,,193,70,Caribbean Netherlands
Cayman Islands,205.0,,1.0,,202.0,2.0,,3114.0,15.0,33978.0,516171.0,65827.0,0.49%,11.0,125.0,78.0,187.0,185,86,Cayman Islands
Chad,972.0,1.0,76.0,,869.0,27.0,,59.0,5.0,,,16486068.0,8.04%,,155.0,199.0,30.0,24,196,Chad
Channel Islands,613.0,,48.0,,545.0,20.0,,3521.0,276.0,68985.0,396276.0,174083.0,8.09%,12.0,23.0,69.0,29.0,74,30,Channel Islands
Chile,391849.0,1812.0,10671.0,93.0,366063.0,15115.0,1077.0,20474.0,558.0,2113632.0,110437.0,19138783.0,2.83%,48.0,9.0,5.0,110.0,182,120,Chile
China,84895.0,7.0,4634.0,,79745.0,516.0,24.0,59.0,3.0,90410000.0,62814.0,1439323776.0,5.49%,77.0,169.0,199.0,52.0,76,7,China
Colombia,513719.0,11541.0,16183.0,204.0,339124.0,158412.0,1493.0,10081.0,318.0,2374898.0,46606.0,50956995.0,4.55%,91.0,20.0,21.0,65.0,151,108,Colombia
Comoros,417.0,11.0,7.0,,396.0,14.0,,478.0,8.0,,,872036.0,1.74%,,141.0,152.0,149.0,27,196,Comoros
Congo,3850.0,,77.0,,1625.0,2148.0,,695.0,14.0,,,5535717.0,4.52%,,128.0,136.0,67.0,23,196,Congo
Costa Rica,31075.0,666.0,333.0,12.0,9939.0,20803.0,128.0,6093.0,65.0,126337.0,24769.0,5100508.0,3.24%,121.0,69.0,41.0,94.0,95,171,Costa Rica
Country,,,,,,,,,,,,,Death in Closed Cases,,,,,193,196,Country
Croatia,7329.0,255.0,168.0,,5472.0,1689.0,13.0,1787.0,41.0,144521.0,35235.0,4101613.0,2.98%,107.0,86.0,94.0,103.0,149,154,Croatia
Cuba,3565.0,83.0,88.0,,2894.0,583.0,3.0,315.0,8.0,346439.0,30589.0,11325635.0,2.95%,115.0,141.0,164.0,106.0,10,84,Cuba
Curaça,36.0,,1.0,,31.0,4.0,,219.0,6.0,1080.0,6578.0,164187.0,3.13%,165.0,148.0,176.0,99.0,185,182,Curaça
Cyprus,1395.0,10.0,20.0,,878.0,497.0,5.0,1154.0,17.0,263943.0,218392.0,1208574.0,2.23%,21.0,118.0,113.0,133.0,130,105,Cyprus
Czechia,21045.0,247.0,406.0,2.0,15886.0,4753.0,24.0,1965.0,38.0,820151.0,76565.0,10711777.0,2.49%,64.0,88.0,91.0,120.0,84,16,Czechia
DRC,9757.0,16.0,247.0,1.0,8895.0,615.0,,109.0,3.0,,,89906805.0,2.70%,,169.0,190.0,114.0,120,196,DRC
Denmark,16056.0,116.0,621.0,,13769.0,1666.0,1.0,2771.0,107.0,2075156.0,358091.0,5795057.0,4.32%,14.0,50.0,81.0,77.0,40,121,Denmark
Diamond Princess,712.0,,13.0,,651.0,48.0,4.0,,,,,,1.96%,,,,142.0,166,196,Diamond Princess
Djibouti,5374.0,,59.0,,5216.0,99.0,,5429.0,60.0,63471.0,64116.0,989936.0,1.12%,73.0,72.0,48.0,166.0,52,40,Djibouti
Dominica,18.0,,,,18.0,0.0,,250.0,,1646.0,22858.0,72011.0,,126.0,,171.0,,193,146,Dominica
Dominican Republic,89010.0,883.0,1505.0,4.0,57734.0,29771.0,288.0,8194.0,139.0,335478.0,30883.0,10862806.0,2.54%,114.0,43.0,28.0,116.0,157,88,Dominican Republic
Ecuador,105508.0,1033.0,6200.0,54.0,87660.0,11648.0,331.0,5968.0,351.0,297376.0,16821.0,17679078.0,6.61%,134.0,19.0,44.0,40.0,43,97,Ecuador
Egypt,97025.0,111.0,5212.0,15.0,63462.0,28351.0,41.0,946.0,51.0,135000.0,1316.0,102590466.0,7.59%,189.0,78.0,124.0,33.0,66,165,Egypt
El Salvador,23964.0,247.0,640.0,7.0,11558.0,11766.0,391.0,3692.0,99.0,288307.0,44418.0,6490763.0,5.25%,96.0,55.0,66.0,57.0,36,99,El Salvador
Equatorial Guinea,4892.0,,83.0,,2713.0,2096.0,,3473.0,59.0,49215.0,34935.0,1408774.0,2.97%,109.0,74.0,72.0,105.0,12,60,Equatorial Guinea
Eritrea,306.0,2.0,,,274.0,32.0,,86.0,,,,3553053.0,,,,193.0,,193,196,Eritrea
Estonia,2227.0,20.0,63.0,,2009.0,155.0,,1679.0,47.0,138166.0,104146.0,1326661.0,3.04%,51.0,83.0,96.0,100.0,37,160,Estonia
Eswatini,4110.0,52.0,81.0,2.0,2643.0,1386.0,11.0,3538.0,70.0,28380.0,24427.0,1161807.0,2.97%,122.0,64.0,68.0,104.0,17,102,Eswatini
Ethiopia,35836.0,1778.0,620.0,20.0,13536.0,21680.0,216.0,311.0,5.0,694093.0,6018.0,115332992.0,4.38%,168.0,155.0,165.0,73.0,44,29,Ethiopia
Faeroe Islands,383.0,1.0,,,274.0,109.0,3.0,7834.0,,80312.0,1642742.0,48889.0,,2.0,,31.0,,193,19,Faeroe Islands
Falkland Islands,13.0,,,,13.0,0.0,,3722.0,,2256.0,645863.0,3493.0,,6.0,,65.0,,193,113,Falkland Islands
Fiji,28.0,,1.0,,20.0,7.0,,31.0,1.0,6693.0,7459.0,897343.0,4.76%,160.0,177.0,206.0,63.0,185,32,Fiji
Finland,7842.0,37.0,334.0,,7100.0,408.0,,1415.0,60.0,517936.0,93458.0,5541933.0,4.49%,55.0,72.0,104.0,69.0,94,56,Finland
France,229814.0,4771.0,30480.0,12.0,84065.0,115269.0,384.0,3520.0,467.0,6000000.0,91892.0,65293815.0,26.61%,56.0,12.0,70.0,8.0,102,45,France
French Guiana,8743.0,32.0,54.0,,8189.0,500.0,17.0,29174.0,180.0,48382.0,161444.0,299682.0,0.66%,31.0,33.0,2.0,181.0,61,63,French Guiana
French Polynesia,211.0,,,,68.0,143.0,2.0,751.0,,9912.0,35257.0,281134.0,,106.0,,131.0,,193,1,French Polynesia
Gabon,8319.0,,53.0,,6614.0,1652.0,1.0,3726.0,24.0,104420.0,46771.0,2232578.0,0.79%,90.0,104.0,64.0,173.0,63,186,Gabon
Gambia,2401.0,113.0,81.0,4.0,435.0,1885.0,,990.0,33.0,10781.0,4445.0,2425361.0,15.70%,174.0,94.0,119.0,10.0,17,183,Gambia
Georgia,1370.0,9.0,17.0,,1108.0,245.0,,344.0,4.0,315142.0,79021.0,3988076.0,1.51%,61.0,162.0,159.0,155.0,147,90,Georgia
Germany,231284.0,1584.0,9324.0,10.0,204800.0,17160.0,231.0,2759.0,111.0,10197366.0,121656.0,83821481.0,4.35%,43.0,48.0,83.0,75.0,3,195,Germany
Ghana,43260.0,166.0,261.0,5.0,41276.0,1723.0,5.0,1388.0,8.0,431272.0,13841.0,31158344.0,0.63%,141.0,141.0,106.0,184.0,115,69,Ghana
Gibraltar,229.0,6.0,,,200.0,29.0,,6797.0,,28366.0,841971.0,33690.0,,5.0,,35.0,,193,103,Gibraltar
Greece,7934.0,250.0,235.0,,3804.0,3895.0,30.0,762.0,23.0,816450.0,78386.0,10415735.0,5.82%,62.0,107.0,130.0,47.0,124,18,Greece
Greenland,14.0,,,,14.0,0.0,,247.0,,6446.0,113518.0,56784.0,,45.0,,172.0,,193,39,Greenland
Grenada,24.0,,,,24.0,0.0,,213.0,,6252.0,55526.0,112596.0,,84.0,,178.0,,193,42,Grenada
Guadeloupe,510.0,,15.0,,289.0,206.0,2.0,1275.0,37.0,23585.0,58943.0,400134.0,4.93%,81.0,89.0,111.0,60.0,158,110,Guadeloupe
Guatemala,65983.0,1102.0,2506.0,39.0,54351.0,9126.0,5.0,3674.0,140.0,213204.0,11871.0,17959594.0,4.41%,146.0,42.0,67.0,72.0,118,119,Guatemala
Guinea,8876.0,84.0,53.0,,7628.0,1195.0,24.0,674.0,4.0,16975.0,1288.0,13178580.0,0.69%,190.0,162.0,137.0,180.0,63,140,Guinea
Guinea-Bissau,2149.0,32.0,33.0,,1015.0,1101.0,5.0,1089.0,17.0,1500.0,760.0,1974061.0,3.15%,192.0,118.0,116.0,97.0,96,150,Guinea-Bissau
Guyana,846.0,70.0,29.0,2.0,399.0,418.0,8.0,1075.0,37.0,6502.0,8261.0,787081.0,6.78%,158.0,89.0,117.0,37.0,107,37,Guyana
Haiti,7997.0,48.0,196.0,,5447.0,2354.0,,700.0,17.0,21400.0,1874.0,11421419.0,3.47%,184.0,118.0,135.0,88.0,135,118,Haiti
Honduras,52298.0,628.0,1608.0,15.0,7867.0,42823.0,43.0,5269.0,162.0,127946.0,12890.0,9925734.0,16.97%,142.0,36.0,50.0,9.0,153,170,Honduras
Hong Kong,4605.0,18.0,73.0,1.0,3827.0,705.0,31.0,614.0,10.0,780415.0,103981.0,7505365.0,1.87%,52.0,134.0,140.0,143.0,25,21,Hong Kong
Hungary,5046.0,44.0,609.0,,3678.0,759.0,7.0,523.0,63.0,390079.0,40394.0,9656850.0,14.21%,102.0,70.0,148.0,13.0,47,76,Hungary
Iceland,2040.0,5.0,10.0,,1913.0,117.0,1.0,5973.0,29.0,191690.0,561236.0,341550.0,0.52%,10.0,99.0,43.0,186.0,183,129,Iceland
India,2904329.0,68507.0,54975.0,981.0,2157941.0,691413.0,8944.0,2102.0,40.0,32661252.0,23636.0,1381863561.0,2.48%,123.0,87.0,90.0,121.0,59,96,India
Indonesia,147211.0,2266.0,6418.0,72.0,100674.0,40119.0,,537.0,23.0,1969941.0,7192.0,273918933.0,5.99%,163.0,107.0,147.0,44.0,35,126,Indonesia
Iran,352558.0,2279.0,20264.0,139.0,304236.0,28058.0,3869.0,4190.0,241.0,2939840.0,34940.0,84138745.0,6.24%,108.0,25.0,56.0,41.0,129,98,Iran
Iraq,192797.0,3995.0,6208.0,87.0,137200.0,49389.0,614.0,4779.0,154.0,1368727.0,33929.0,40340634.0,4.33%,110.0,38.0,52.0,76.0,42,163,Iraq
Ireland,27676.0,129.0,1776.0,1.0,23364.0,2536.0,6.0,5596.0,359.0,735598.0,148747.0,4945309.0,7.06%,34.0,18.0,46.0,36.0,142,25,Ireland
Isle of Man,336.0,,24.0,,312.0,0.0,,3948.0,282.0,9423.0,110734.0,85096.0,7.14%,47.0,21.0,60.0,35.0,121,2,Isle of Man
Israel,99599.0,1630.0,795.0,14.0,74579.0,24225.0,389.0,10829.0,86.0,2180096.0,237029.0,9197590.0,1.05%,16.0,57.0,19.0,169.0,21,116,Israel
Italy,256118.0,840.0,35418.0,6.0,204686.0,16014.0,68.0,4237.0,586.0,7790596.0,128878.0,60449180.0,14.75%,40.0,7.0,55.0,12.0,93,22,Italy
Ivory Coast,17249.0,17.0,112.0,1.0,14611.0,2526.0,,652.0,4.0,117115.0,4426.0,26463011.0,0.76%,175.0,162.0,138.0,175.0,178,180,Ivory Coast
Jamaica,1192.0,46.0,14.0,,772.0,406.0,1.0,402.0,5.0,49215.0,16610.0,2962971.0,1.78%,135.0,155.0,156.0,144.0,163,60,Jamaica
Japan,58501.0,951.0,1144.0,16.0,45266.0,12091.0,237.0,463.0,9.0,1259422.0,9962.0,126421114.0,2.46%,152.0,137.0,154.0,125.0,175,172,Japan
Jordan,1498.0,16.0,11.0,,1261.0,226.0,3.0,147.0,1.0,720972.0,70566.0,10217009.0,0.86%,67.0,177.0,184.0,172.0,179,26,Jordan
Kazakhstan,103815.0,244.0,1415.0,,86450.0,15950.0,221.0,5520.0,75.0,2291327.0,121832.0,18807256.0,1.61%,42.0,62.0,47.0,152.0,161,112,Kazakhstan
Kenya,31441.0,426.0,516.0,10.0,17869.0,13056.0,44.0,583.0,10.0,398585.0,7391.0,53926571.0,2.81%,161.0,134.0,141.0,111.0,67,75,Kenya
Kuwait,78767.0,622.0,509.0,2.0,70642.0,7616.0,94.0,18407.0,119.0,577588.0,134980.0,4279075.0,0.72%,35.0,46.0,7.0,178.0,70,49,Kuwait
Kyrgyzstan,42507.0,182.0,1498.0,0.0,35486.0,5523.0,24.0,6501.0,229.0,267718.0,40944.0,6538600.0,4.05%,101.0,28.0,38.0,83.0,160,104,Kyrgyzstan
Laos,22.0,,,,19.0,3.0,,3.0,,35428.0,4860.0,7289790.0,,173.0,,214.0,,193,79,Laos
Latvia,1327.0,1.0,33.0,,1093.0,201.0,,705.0,18.0,232918.0,123686.0,1883144.0,2.93%,41.0,114.0,133.0,107.0,96,111,Latvia
Lebanon,10952.0,605.0,113.0,4.0,3040.0,7799.0,72.0,1606.0,17.0,443709.0,65050.0,6821056.0,3.58%,70.0,118.0,100.0,86.0,176,67,Lebanon
Lesotho,996.0,50.0,30.0,,423.0,543.0,,464.0,14.0,12033.0,5611.0,2144591.0,6.62%,169.0,128.0,153.0,39.0,103,176,Lesotho
Liberia,1284.0,2.0,82.0,,803.0,399.0,,253.0,16.0,,,5073177.0,9.27%,,122.0,170.0,26.0,13,196,Liberia
Libya,9707.0,244.0,173.0,4.0,1047.0,8487.0,,1410.0,25.0,88492.0,12855.0,6883928.0,14.18%,144.0,103.0,105.0,14.0,145,8,Libya
Liechtenstein,99.0,1.0,1.0,,88.0,10.0,,2595.0,26.0,900.0,23595.0,38143.0,1.12%,124.0,101.0,87.0,165.0,185,6,Liechtenstein
Lithuania,2528.0,32.0,82.0,1.0,1747.0,699.0,6.0,931.0,30.0,594478.0,218825.0,2716679.0,4.48%,20.0,98.0,125.0,70.0,13,46,Lithuania
Luxembourg,7637.0,71.0,124.0,,6903.0,610.0,3.0,12174.0,198.0,706629.0,1126386.0,627342.0,1.76%,4.0,32.0,16.0,148.0,172,27,Luxembourg
MS Zaandam,9.0,,2.0,,,7.0,,,,,,,100.00%,,,,1.0,132,196,MS Zaandam
Macao,46.0,,,,46.0,0.0,,71.0,,4071.0,6258.0,650532.0,,167.0,,195.0,,193,73,Macao
Madagascar,14154.0,80.0,177.0,4.0,13038.0,939.0,83.0,509.0,6.0,53954.0,1942.0,27783027.0,1.34%,183.0,148.0,150.0,161.0,144,54,Madagascar
Malawi,5282.0,42.0,165.0,1.0,2883.0,2234.0,4.0,275.0,9.0,41026.0,2137.0,19193810.0,5.41%,181.0,137.0,168.0,54.0,150,72,Malawi
Malaysia,9240.0,5.0,125.0,,8932.0,183.0,7.0,285.0,4.0,1152140.0,35535.0,32422234.0,1.38%,105.0,162.0,167.0,160.0,170,181,Malaysia
Maldives,6370.0,145.0,24.0,,3915.0,2431.0,12.0,11757.0,44.0,100233.0,184996.0,541813.0,0.61%,25.0,84.0,17.0,185.0,121,191,Maldives
Mali,2667.0,,125.0,,1993.0,549.0,,131.0,6.0,32716.0,1610.0,20325303.0,5.90%,187.0,148.0,188.0,45.0,170,89,Mali
Malta,1510.0,40.0,9.0,,802.0,699.0,,3419.0,20.0,166348.0,376602.0,441708.0,1.11%,13.0,112.0,75.0,168.0,8,144,Malta
Martinique,336.0,,16.0,,98.0,222.0,2.0,895.0,43.0,12227.0,32586.0,375224.0,14.04%,112.0,85.0,127.0,15.0,154,173,Martinique
Mauritania,6848.0,19.0,158.0,,6123.0,567.0,3.0,1468.0,34.0,68872.0,14762.0,4665419.0,2.52%,138.0,93.0,103.0,118.0,155,31,Mauritania
Mauritius,346.0,,10.0,,334.0,2.0,,272.0,8.0,205285.0,161379.0,1272065.0,2.91%,32.0,141.0,169.0,109.0,183,122,Mauritius
Mayotte,3160.0,,39.0,,2964.0,157.0,1.0,11547.0,143.0,13000.0,47502.0,273671.0,1.30%,89.0,41.0,18.0,162.0,87,169,Mayotte
Mexico,537031.0,5792.0,58481.0,707.0,367537.0,111013.0,3480.0,4159.0,453.0,1211552.0,9383.0,129117943.0,13.73%,153.0,13.0,57.0,16.0,53,174,Mexico
Moldova,31937.0,522.0,921.0,7.0,21885.0,9131.0,362.0,7920.0,228.0,183923.0,45609.0,4032626.0,4.04%,93.0,29.0,30.0,84.0,6,133,Moldova
Monaco,150.0,2.0,4.0,,115.0,31.0,1.0,3819.0,102.0,51953.0,1322632.0,39280.0,3.36%,3.0,53.0,62.0,90.0,85,55,Monaco
Mongolia,298.0,,,,281.0,17.0,1.0,91.0,,46332.0,14103.0,3285365.0,,139.0,,192.0,,193,64,Mongolia
Montenegro,4229.0,55.0,81.0,1.0,3186.0,962.0,,6733.0,129.0,44219.0,70404.0,628077.0,2.48%,68.0,44.0,36.0,122.0,17,68,Montenegro
Montserrat,13.0,,1.0,,12.0,0.0,,2604.0,200.0,61.0,12220.0,4992.0,7.69%,145.0,31.0,86.0,32.0,185,43,Montserrat
Morocco,47638.0,1325.0,775.0,32.0,32806.0,14057.0,31.0,1289.0,21.0,1670569.0,45187.0,36970089.0,2.31%,94.0,111.0,110.0,129.0,22,143,Morocco
Mozambique,3115.0,70.0,20.0,1.0,1380.0,1715.0,,99.0,0.6,82264.0,2623.0,31367587.0,1.43%,178.0,182.0,191.0,158.0,130,15,Mozambique
Myanmar,399.0,5.0,6.0,,333.0,60.0,,7.0,0.1,141044.0,2590.0,54460318.0,1.77%,179.0,189.0,213.0,147.0,50,157,Myanmar
Namibia,4912.0,247.0,41.0,2.0,2442.0,2429.0,18.0,1929.0,16.0,45744.0,17960.0,2547027.0,1.65%,131.0,122.0,92.0,150.0,81,65,Namibia
Nepal,29645.0,707.0,126.0,6.0,17964.0,11555.0,,1015.0,4.0,878622.0,30083.0,29206558.0,0.70%,116.0,162.0,118.0,179.0,169,9,Nepal
Netherlands,65054.0,529.0,6191.0,10.0,0.0,0.0,51.0,3795.0,361.0,1312787.0,76591.0,17140202.0,100.00%,63.0,17.0,63.0,1.0,45,168,Netherlands
New Caledonia,23.0,,,,22.0,1.0,,80.0,,11838.0,41410.0,285874.0,,99.0,,194.0,,193,179,New Caledonia
New Zealand,1654.0,5.0,22.0,,1531.0,101.0,6.0,331.0,4.0,657506.0,131446.0,5002100.0,1.42%,38.0,162.0,160.0,159.0,126,35,New Zealand
Nicaragua,4311.0,,133.0,,2913.0,1265.0,,650.0,20.0,,,6635277.0,4.37%,,112.0,139.0,74.0,165,196,Nicaragua
Niger,1169.0,2.0,69.0,,1082.0,18.0,,48.0,3.0,9052.0,372.0,24315155.0,5.99%,193.0,169.0,202.0,43.0,30,5,Niger
Nigeria,50964.0,476.0,992.0,7.0,37569.0,12403.0,7.0,246.0,5.0,352625.0,1705.0,206802324.0,2.57%,185.0,155.0,173.0,115.0,2,81,Nigeria
North Macedonia,13194.0,118.0,554.0,3.0,9752.0,2888.0,4.0,6333.0,266.0,132493.0,63596.0,2083362.0,5.38%,75.0,24.0,40.0,56.0,56,167,North Macedonia
Norway,10197.0,35.0,264.0,2.0,9150.0,783.0,1.0,1879.0,49.0,588550.0,108447.0,5427090.0,2.80%,49.0,82.0,93.0,112.0,114,48,Norway
Oman,83769.0,163.0,609.0,6.0,78386.0,4774.0,151.0,16350.0,119.0,309212.0,60353.0,5123430.0,0.77%,79.0,46.0,11.0,174.0,47,91,Oman
Pakistan,290958.0,513.0,6209.0,8.0,272804.0,11945.0,725.0,1314.0,28.0,2363752.0,10673.0,221460187.0,2.23%,148.0,100.0,109.0,134.0,41,109,Pakistan
Palestine,17989.0,383.0,120.0,1.0,10682.0,7187.0,,3516.0,23.0,214862.0,41991.0,5116888.0,1.11%,98.0,107.0,71.0,167.0,173,117,Palestine
Panama,83855.0,101.0,1844.0,17.0,59174.0,22837.0,154.0,19393.0,426.0,287300.0,66445.0,4323882.0,3.02%,69.0,14.0,6.0,101.0,139,100,Panama
Papua New Guinea,361.0,14.0,4.0,1.0,198.0,159.0,,40.0,0.4,14439.0,1610.0,8969502.0,1.98%,187.0,184.0,203.0,141.0,85,155,Papua New Guinea
Paraguay,11817.0,684.0,170.0,5.0,6783.0,4864.0,63.0,1654.0,24.0,166110.0,23250.0,7144441.0,2.44%,125.0,104.0,97.0,126.0,146,145,Paraguay
Peru,567059.0,8639.0,27034.0,200.0,380730.0,159295.0,1519.0,17166.0,818.0,2852011.0,86336.0,33033892.0,6.63%,58.0,3.0,9.0,38.0,111,101,Peru
Philippines,177579.0,3896.0,2881.0,86.0,113903.0,60795.0,717.0,1618.0,26.0,2193448.0,19981.0,109778515.0,2.47%,129.0,101.0,99.0,124.0,109,115,Philippines
Poland,59378.0,767.0,1925.0,12.0,40481.0,16972.0,85.0,1569.0,51.0,2409394.0,63672.0,37840722.0,4.54%,74.0,78.0,101.0,66.0,137,107,Poland
Portugal,54992.0,291.0,1788.0,2.0,40264.0,12940.0,39.0,5395.0,175.0,1880235.0,184473.0,10192461.0,4.25%,26.0,34.0,49.0,80.0,141,132,Portugal
Qatar,116224.0,268.0,193.0,,112924.0,3107.0,64.0,41393.0,69.0,572273.0,203815.0,2807805.0,0.17%,23.0,65.0,1.0,191.0,136,50,Qatar
Romania,74963.0,1346.0,3154.0,48.0,34196.0,37613.0,489.0,3900.0,164.0,1591015.0,82783.0,19219141.0,8.44%,60.0,35.0,61.0,28.0,99,147,Romania
